algo;eps;tam;max;count_err
quick;0.001;1000;221;8
quick;0.001;1000;380;9
quick;0.001;1000;214;11
quick;0.001;1000;182;10
quick;0.001;1000;193;16
quick;0.001;1000;313;9
quick;0.001;1000;281;9
quick;0.001;1000;244;10
quick;0.001;1000;380;7
quick;0.001;1000;346;8
merge;0.001;1000;317;5
merge;0.001;1000;239;10
merge;0.001;1000;271;8
merge;0.001;1000;221;7
merge;0.001;1000;710;5
merge;0.001;1000;431;6
merge;0.001;1000;292;10
merge;0.001;1000;244;9
merge;0.001;1000;210;11
merge;0.001;1000;368;4
bubble;0.001;1000;817;3
bubble;0.001;1000;560;1
bubble;0.001;1000;679;2
bubble;0.001;1000;379;6
bubble;0.001;1000;985;1
bubble;0.001;1000;525;3
bubble;0.001;1000;886;2
bubble;0.001;1000;854;2
bubble;0.001;1000;548;6
bubble;0.001;1000;772;4
insertion;0.001;1000;86;41
insertion;0.001;1000;75;51
insertion;0.001;1000;84;47
insertion;0.001;1000;79;41
insertion;0.001;1000;89;47
insertion;0.001;1000;65;52
insertion;0.001;1000;67;55
insertion;0.001;1000;55;48
insertion;0.001;1000;76;43
insertion;0.001;1000;90;39
